mrg.grid:collector					Type		UI
	Pool						Property	No						
	System						Property	No
	CondorPlatform					Property	No
	CondorVersion					Property	No
	Name						Property	Yes
	PublicNetworkIpAddr				Property	Yes
	
mrg.grid:master
	Pool						Property	No
	System						Property	No
	Name						Property	No
	Machine						Property	No
	PublicNetworkIpAddr				Property	No
	MyAddress					Property	No
	RealUid						Property	No
	CondorPlatform					Property	No
	CondorVersion					Property	No
	DaemonStartTime					Property	No

	MonitorSelfAge					Statistic	No
	MonitorSelfCPUUsage				Statistic	No
	MonitorSelfImageSize				Statistic	No
	MonitorSelfRegisteredSocketCount		Statistic	No
	MonitorSelfResidentSetSize			Statistic	No
	MonitorSelfTime					Statistic	No

	Start						Method		Yes
	Stop						Method		Yes

mrg.grid.negotiator
	Pool						Property	No
	System						Property	No
	Name						Property	Yes
	Machine						Property	Yes
	MyAddress					Property	Yes
	CondorPlatform					Property	No
	CondorVersion					Property	No
	DaemonStartTime					Property	Yes

	MonitalSelfAge					Statistic	No					
	MonitorSelfCPUUsage				Statistic	No
	MonitorSelfImageSize				Statistic	No
	MonitorSelfRegisteredSocketCount		Statistic	No
	MonitorSelfResidentSetSize			Statistic	No
	MonitorSelfTime					Statistic	No
	
	SetLimit					Method		Yes
	GetLimits					Method		Yes
	Reconfig					Method		Yes
	
mrg.grid:scheduler
	CondorPlatform					Property	No
	CondorVersion					Property	No
	DaemonStartTime					Property	No
	Pool						Property	No
	System						Property	Yes
	JobQueueBirthdate				Property	Yes
	MaxJobsRunning					Property	Yes
	Machine						Property	Yes
	MyAddress					Property	Yes
	Name						Property	Yes
	PublicNetworkIpAddr				Property	Yes

	MonitorSelfAge					Statistic	No
	MonitorSelfCPUUsage				Statistic	No
	MonitorSelfImageSize				Statistic	No
	MonitorSelfRegisteredSocketCount		Statistic	No
	MonitorSelfResidentSetSize			Statistic	No
	MonitorSelfTime					Statistic	No
	NumUsers					Statistic	Yes
	TotalHeldJobs					Statistic	Yes
	TotalIdleJobs					Statistic	Yes
	TotalJobAds					Statistic	Yes
	TotalRemovedJobs				Statistic	Yes
	TotalRunningJobs				Statistic	Yes

mrg.grid.slot
	CondorPlatform					Property	No
	CondorVersion					Property	No
	DaemonStartTime					Property	No
	Pool						Property	No
	System						Property	No
	AccountingGroup					Property	No
	Arch						Property	No
	CheckpointPlatform				Property	No
	ClientMachine					Property	No
	ConcurrencyLimits				Property	No
	Cpus						Property	No
	CurrentRank					Property	No
	Disk						Property	No
	FileSystemDomain				Property	No
	GlobalJobId					Property	No                       
	ImageSize					Property	No	                        
	IsValidCheckpointPlatform			Property	No
	JobId						Property	No         
	JobStart					Property	No                          
	KFlops						Property	No
	Machine						Property	No                           
	MaxJobRetirementTime				Property	No
	Memory						Property	No
	Mips						Property	No
	MyAddress					Property	No
	Name						Property	No
	OpSys						Property	No
	PreemptingConcurrencyLimits			Property	No
	PreemptingOwner					Property	No
	PreemptingUser					Property	No
	PreemptingRank					Property	No
	RemoteOwner					Property	No
	RemoteUser					Property	No
	Requirements					Property	No
	PublicNetworkIpAddr				Property	No
	Rank						Property	No
	SlotID						Property	No
	Start						Property	No
	StarterAbilityList				Property	No
	TotalClaimRunTime				Property	No
	TotalClaimSuspendTime				Property	No
	TotalCpus					Property	No
	TotalDisk					Property	No
	TotalJobRunTime					Property	No
	TotalJobSuspendTime				Property	No
	TotalMemory					Property	No
	TotalSlots					Property	No
	TotalVirtualMemory				Property	No
	UidDomain					Property	No
	VirtualMemory					Property	No
	WindowsBuildNumber				Property	No
	WindowsMajorVersion				Property	No
	WindowsMinorVersion				Property	No

	MonitorSelfAge					Statistic	No
	MonitorSelfCPUUsage				Statistic	No
	MonitorSelfRegisteredSocketCount		Statistic	No
	MonitorSelfResidentSetSize			Statistic	No
	MonitorSelfTime					Statistic	No
	Activity					Statistic	No
	ClockDay					Statistic	No
	ClockMin					Statistic	No
	CondorLoadAvg					Statistic	No
	ConsoleIdle					Statistic	No
	EnteredCurrentActivity				Statistic	No
	EnteredCurrentState				Statistic	No
	KeyboardIdle					Statistic	No
	LastBenchmark					Statistic	No
	LastFetchWorkCompleted				Statistic	No
	LastFetchWorkSpawned				Statistic	No
	LastPeriodicCheckpoint				Statistic	No
	LoadAvg						Statistic	No
	MyCurrentTime					Statistic	No
	NextFetchWorkDelay				Statistic	No
	State						Statistic	No
	TimeToLive					Statistic	No
	TotalCondorLoadAvg				Statistic	No
	TotalLoadAvg					Statistic	No
	TotalTimeBackfillBusy				Statistic	No
	TotalTimeBackfillIdle				Statistic	No
	TotalTimeBackfillKilling			Statistic	No
	TotalTimeClaimedBusy				Statistic	No
	TotalTimeClaimedIdle				Statistic	No
	TotalTimeClaimedRetiring			Statistic	No
	TotalTimeClaimedSuspended			Statistic	No
	TotalTimeMatchedIdle				Statistic	No
	TotalTimeOwnerIdle				Statistic	No
	TotalTimePreemptingKilling			Statistic	No
	TotalTimePreemptingVacating			Statistic	No
	TotalTimeUnclaimedBenchmarking			Statistic	No
	TotalTimeUnclaimedIdle				Statistic	No

mrg.grid:submitter
	schedulerRef					Property	No   
	JobQueueBirthdate				Property	No
	Machine						Property	No
	Name						Property	Yes
	ScheddName					Property	No

	HeldJobs					Statistic	Yes	Charted
